date,open,high,low,close,volume_BTC,volume_EUR
2021-03-06 00:00:00,40972.70000000,41273.02000000,40970.13000000,41115.84000000,26.18984200,1077248.27892991
2021-03-05 23:00:00,41208.76000000,41261.44000000,40818.20000000,40972.71000000,74.87175600,3071043.46707328
2021-03-05 22:00:00,41204.99000000,41449.40000000,40914.92000000,41212.63000000,121.76623600,5020396.50420090
2021-03-05 21:00:00,41290.42000000,41465.55000000,41050.02000000,41187.53000000,109.06194600,4497757.39353693
2021-03-05 20:00:00,41418.47000000,41546.82000000,41045.74000000,41290.41000000,164.46899000,6793097.93014297
2021-03-05 19:00:00,40734.23000000,41484.99000000,40600.00000000,41410.92000000,177.07131700,7266335.69345267
2021-03-05 18:00:00,40452.35000000,40800.00000000,40308.85000000,40734.00000000,147.75996800,6004985.21932877
2021-03-05 17:00:00,40073.20000000,40544.77000000,39800.47000000,40452.35000000,139.05657800,5592925.74337975
2021-03-05 16:00:00,40240.13000000,40240.13000000,39465.06000000,40089.76000000,255.22486400,10182776.71396348
2021-03-05 15:00:00,40451.94000000,40896.72000000,40187.34000000,40240.13000000,180.32255800,7307318.34322407
2021-03-05 14:00:00,40374.10000000,40900.00000000,40289.02000000,40437.27000000,255.35945700,10366855.75529515
2021-03-05 13:00:00,39974.52000000,40547.80000000,39835.71000000,40371.73000000,234.41945300,9420074.34950131
2021-03-05 12:00:00,39843.51000000,40160.76000000,39413.21000000,39977.52000000,216.06017200,8606088.20793861
2021-03-05 11:00:00,39502.35000000,39859.04000000,39502.35000000,39837.45000000,118.80300000,4719963.59033774
2021-03-05 10:00:00,39523.71000000,39649.97000000,39263.36000000,39502.26000000,123.17718000,4867720.92142866
2021-03-05 09:00:00,39156.70000000,39620.16000000,39064.97000000,39527.06000000,206.71890500,8135335.68239016
2021-03-05 08:00:00,39732.09000000,39802.62000000,38988.06000000,39147.66000000,196.57847900,7731277.48219663
2021-03-05 07:00:00,39805.95000000,39934.19000000,39436.61000000,39740.00000000,128.13876200,5082054.78463992
2021-03-05 06:00:00,39554.48000000,39824.06000000,39445.49000000,39805.95000000,91.10721700,3611874.51047888
2021-03-05 05:00:00,39175.97000000,39644.70000000,39158.03000000,39559.29000000,68.40261300,2697484.89351599
